166,8.7,,M
167,9.4,,E10
168,8.1,,E
169,8.5,,E
170,,,
171,9.5,,M
172,8.5,,T
173,,,M
174,9.7,,M
175,7.7,,E
176,,,E10
177,9.5,7,M
178,9.3,,M
179,8.9,,E
180,,,
181,9.3,9.8,M
182,8.5,,
183,9.3,,E
184,9.2,,E
185,9.4,9.2,E
186,,,
187,9.5,,E
188,6.9,,T
189,,,M
190,8.4,,E
191,,,T
192,8.6,,E
193,9.1,,T
194,,,
195,9.4,,E
196,8,,E10
197,6.6,,E
198,9.5,,E10
199,,,
200,8.2,,E
201,9,,M
202,8.4,,E
203,8.2,8,M
204,9.6,,T
205,9.2,9.8,E
206,8.6,,E10
207,9.2,,T
208,8.3,,T
209,8.8,,M
210,,,M
211,7.5,,E
212,,,E10
213,8.4,,M
214,9.2,,E
215,6.9,,E
216,,,M
217,8,9.2,T
218,8.3,,E
219,9.2,,E10
220,,,
221,,,M
222,8.7,,E
223,9.1,,M
224,7.3,,E
225,,,
226,9.3,,E
227,7.3,,E10
228,7.6,,T
229,9.5,,E
230,8.3,,M
231,8.3,,M
232,,,E
233,8.3,,E10
234,9.2,9.4,M
235,7.8,,E10
236,7.9,,E
237,9.3,,E
238,5.9,,T
239,,,M
240,,,E
241,7,,E
242,9.2,,T
243,,,E
244,8.6,8.8,M
245,7.8,,M
246,7,,E
247,8.4,,M
248,8.7,,E
249,9.7,,E
250,8.1,,T
251,8.4,,M
252,9.6,,T
253,,,T
254,8.7,,E
255,,,E
256,9.4,9.4,M
257,9.4,9.5,M
258,,,T
259,8.6,,T
260,9.5,,M
261,8.2,,T
262,8.7,8.6,T
263,9.3,,M
264,9,8.6,M
265,8.4,,E10
266,9.1,,E
267,9.2,,E10
268,8.6,,T
269,,,
270,8.3,,E
271,6.4,,E
272,,,M
273,,,
274,,,E10
275,8.2,8.5,M
276,,,M
277,9.2,,E
278,7.8,,E
279,9.1,,E
280,9.5,,T
281,7,,T
282,7.7,,T
283,9,,T
284,9.3,,T
285,9.3,9,T
286,7.7,9.5,E
287,8.3,,T
288,8.9,,T
289,9.3,,M
290,10,,
291,9.1,,E
292,8.6,,T
293,8.3,,E
294,,,M
295,9.1,,E
296,6.9,,E
297,6.8,,E
298,8.8,,T
299,9.5,,E
300,8.7,,T
301,,,T
302,7.1,,M
303,,,
304,,,T
305,,,E
306,9.3,,T
307,9.3,,T
308,,,
309,8.7,,E
310,8.5,,E
311,8.2,,E
312,7.2,,E
313,9.2,,M
314,9.6,,E
315,9.1,,T
316,8.8,,E
317,,,
318,5.6,,E10
319,,,M
320,8.6,,T
321,8.5,9.1,M
322,,,
323,9.1,,M
324,,,M
325,7.1,8.8,E
326,,,
327,,,
328,8,,T
329,8.8,,T
330,9,,T
331,9.1,,M
332,9.3,9.8,M
333,,,E
334,8.6,,E10
335,8.5,,E
336,8.8,,M
337,9,,M
338,7.9,,M
339,8.4,,E
340,8.8,,T
341,9.3,9,T
342,,,M
343,9.2,,E
344,7.5,,M
345,5.9,,
346,8.2,,M
347,,,
348,,,E
349,6.9,,T
350,,,E
351,9.4,,E
352,,,M
353,,,T
354,9.5,,M
355,9,,E
356,8.1,,M
357,8.4,,E
358,7,,T
359,,,
360,9,,
361,8.2,,M
362,,,M
363,8.4,,M
364,4.2,,E
365,8.9,,E
366,9.1,,E
367,,,E
368,8.7,,T
369,,,
370,8.8,,M
371,,,
372,7.5,,E
373,5.4,,E10
374,9,,E
375,8.8,,E
376,9.3,9.3,T
377,8.8,,M
378,,,E
379,9.2,,M
380,,,E10
381,8.7,,E10
382,9,,M
383,7.9,,M
384,8.3,,M
385,8.7,,M
386,8.3,,E
387,8.7,,M
388,,,E
389,,,
390,,8,
391,8.7,,T
392,7.4,,E10
393,8.5,,E10
394,7.6,,E10
395,8.2,,T
396,9.3,,E
397,,,E
398,,,E
399,8.6,,M
400,7.7,9.7,T
401,,,E
402,7.5,,E10
403,7.3,,T
404,,,
405,8.5,,E10
406,8,,E
407,8.3,,E
408,8.8,,E
409,9.1,,E
410,9.3,,E
411,8.4,,E
412,,,
413,9.4,,T
414,9.6,,T
415,7.2,,E10
416,6.7,,E
417,9.3,9.4,E
