137,Nintendo EAD,2006,The Legend of Zelda: Twilight Princess,Adventure,Wii,Nintendo
138,EA DICE,2016,Battlefield 1,Shooter,PS4,Electronic Arts
139,Dice,2011,Battlefield 3,Shooter,PS3,Electronic Arts
140,EA Black Box,2003,Need for Speed Underground,Racing,PS2,Electronic Arts
141,Edmund McMillen,2011,The Binding of Isaac,Action,PC,Edmund McMillen
142,Naughty Dog,1998,Crash Bandicoot 3: Warped,Platform,PS,Sony Computer Entertainment
143,Game Freak,2005,Pokemon Emerald Version,Role-Playing,GBA,Nintendo
144,Level 5,2016,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,3DS,Nintendo
145,EA Black Box,2004,Need for Speed Underground 2,Racing,PS2,Electronic Arts
146,Ubisoft,2012,Just Dance 4,Music,Wii,Ubisoft
147,Nintendo EAD,2003,Mario Kart: Double Dash!!,Racing,GC,Nintendo
148,Naughty Dog,2011,Uncharted 3: Drake's Deception,Action,PS3,Sony Computer Entertainment
149,EA Los Angeles,2002,Medal of Honor: Frontline,Shooter,PS2,Electronic Arts
150,Naughty Dog,1996,Crash Bandicoot,Platform,PS,Sony Computer Entertainment
151,"Pipeworks Software, Inc.",2010,Zumba Fitness,Sports,Wii,Majesco
152,Naughty Dog,2009,Uncharted 2: Among Thieves,Action,PS3,Sony Computer Entertainment
153,Infinity Ward,2007,Call of Duty 4: Modern Warfare,Shooter,PS3,Activision
154,EA Canada,2011,FIFA Soccer 12,Sports,PS3,EA Sports
155,EA Canada,2013,FIFA 14,Sports,PS3,EA Sports
156,Rockstar San Diego,2011,Red Dead Redemption,Action,PS3,Rockstar Games
157,Retro Studios,2010,Donkey Kong Country Returns,Platform,Wii,Nintendo
158,Nintendo EAD,1987,The Legend of Zelda,Adventure,NES,Nintendo
159,Ubisoft Montreal,2012,Assassin's Creed III,Action-Adventure,PS3,Ubisoft
160,ArenaNet,2005,Guild Wars,Role-Playing,PC,NCSoft
161,Rockstar San Diego,2010,Red Dead Redemption,Action,X360,Rockstar Games
162,Bethesda Game Studios,2011,The Elder Scrolls V: Skyrim,Role-Playing,PS3,Bethesda Softworks
163,Square Enix,2006,Final Fantasy XII,Role-Playing,PS2,Square Enix
164,Nintendo,2014,Tomodachi Life,Simulation,3DS,Nintendo
165,Game Freak,2001,Pokemon Crystal Version,Role-Playing,GBC,Nintendo
166,Bungie,2009,Halo 3: ODST,Shooter,X360,Microsoft Game Studios
167,Mojang,2014,Minecraft,Misc,PS4,Sony Computer Entertainment
168,EA Canada,2014,FIFA 15,Sports,PS4,EA Sports
169,SquareSoft,2002,Kingdom Hearts,Role-Playing,PS2,Square EA
170,Capcom,1992,Street Fighter II: The World Warrior,Fighting,SNES,Capcom
171,Naughty Dog,2013,The Last of Us,Action-Adventure,PS3,Sony Computer Entertainment America
172,Reflections Interactive,1999,Driver,Action,PS,GT Interactive
173,Sledgehammer Games,2017,Call of Duty: WWII,Shooter,XOne,Activision
174,SIE Santa Monica Studio,2018,God of War (2018),Action,PS4,Sony Interactive Entertainment
175,Nintendo EAD,2006,Big Brain Academy,Misc,DS,Nintendo
176,Mojang,2014,Minecraft,Misc,PS3,Sony Computer Entertainment America
177,Konami Computer Entertainment Japan,2001,Metal Gear Solid 2: Sons of Liberty,Action,PS2,Konami
178,Konami Computer Entertainment Japan,1998,Metal Gear Solid,Action,PS,Konami
179,Cyan Worlds,1995,Myst,Adventure,PC,Broderbund
180,Sonic Team,1992,Sonic the Hedgehog 2,Platform,GEN,Sega
181,Kojima Productions,2008,Metal Gear Solid 4: Guns of the Patriots,Action,PS3,Konami
182,SCS Software,2013,Euro Truck Simulator 2,Simulation,PC,SCS Software
183,Intelligent Systems,2001,Mario Kart: Super Circuit,Racing,GBA,Nintendo
184,Nintendo EAD,2002,Super Mario Sunshine,Platform,GC,Nintendo
185,Media Molecule,2008,LittleBigPlanet,Platform,PS3,Sony Computer Entertainment
186,Hidden Path Entertainment,2013,Age of Empires II: HD Edition,Strategy,PC,Microsoft Studios
187,Nintendo EAD Tokyo,2013,Super Mario 3D World,Platform,WiiU,Nintendo
188,Nintendo EAD,2007,Link's Crossbow Training,Shooter,Wii,Nintendo
189,Rockstar Games,2018,Red Dead Redemption 2,Action-Adventure,XOne,Rockstar Games
190,Nintendo EAD,2012,New Super Mario Bros. U,Platform,WiiU,Nintendo
191,Bungie,2014,Destiny,Shooter,PS4,Activision
192,Next Level Games,2013,Luigi's Mansion: Dark Moon,Adventure,3DS,Nintendo
193,Namco,1996,Tekken 2,Fighting,PS,Namco
194,Bluepoint Games,2015,Uncharted: The Nathan Drake Collection,Action,PS4,Sony Computer Entertainment
195,Nintendo EAD,2002,Super Mario World: Super Mario Advance 2,Platform,GBA,Nintendo
196,Traveller's Tales,2007,LEGO Star Wars: The Complete Saga,Action,Wii,LucasArts
197,Office Create,2006,Cooking Mama,Simulation,DS,Majesco
198,GREZZO,2011,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,3DS,Nintendo
199,Nintendo,1989,Tetris,Puzzle,NES,Nintendo
200,Nintendo EAD,2001,Super Mario Advance,Platform,GBA,Nintendo
201,Ubisoft Montreal,2009,Assassin's Creed II,Action,PS3,Ubisoft
202,HAL Laboratory,1999,Super Smash Bros.,Fighting,N64,Nintendo
203,Ubisoft Montreal,2007,Assassin's Creed,Action,X360,Ubisoft
204,Rocksteady Studios,2011,Batman: Arkham City,Action,PS3,Warner Bros. Interactive
205,Turn 10 Studios,2009,Forza Motorsport 3,Racing,X360,Microsoft Game Studios
206,Level 5,2010,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,Nintendo
207,SquareSoft,2000,Final Fantasy IX,Role-Playing,PS,Square
208,Square Enix,2003,Final Fantasy X-2,Role-Playing,PS2,Square Enix
209,Crystal Dynamics,2013,Tomb Raider (2013),Action,PC,Square Enix
210,CD Projekt Red Studio,2015,The Witcher 3: Wild Hunt,Role-Playing,PC,Warner Bros. Interactive Entertainment
211,HAL Laboratory,2000,Pokemon Stadium,Strategy,N64,Nintendo
212,Mojang,2014,Minecraft,Misc,XOne,Microsoft Studios
213,Treyarch,2008,Call of Duty: World at War,Shooter,PS3,Activision
214,Nintendo EAD,2003,Super Mario Advance 4: Super Mario Bros. 3,Platform,GBA,Nintendo
215,Traveller's Tales,2001,Crash Bandicoot: The Wrath of Cortex,Platform,PS2,Universal Interactive
216,CD Projekt Red Studio,2015,The Witcher 3: Wild Hunt,Role-Playing,PS4,Warner Bros. Interactive Entertainment
217,Square Enix,2010,Final Fantasy XIII,Role-Playing,PS3,Square Enix
218,Polyphony Digital,2008,Gran Turismo 5 Prologue,Racing,PS3,Sony Computer Entertainment
219,Bandai Namco Games,2014,Super Smash Bros. for Wii U,Fighting,WiiU,Nintendo
220,Nintendo R&D1,1990,Dr. Mario,Puzzle,GB,Nintendo
221,Ubisoft Montreal,2012,Assassin's Creed III,Action-Adventure,X360,Ubisoft
222,Jupiter Corporation,1999,Pokemon Pinball,Misc,GBC,Nintendo
223,Ubisoft Montreal,2009,Assassin's Creed II,Action,X360,Ubisoft
224,"Nd Cube Co., Ltd.",2018,Super Mario Party,Party,NS,Nintendo
225,Unknown,2014,The Forest,Misc,PC,Endnight Games Ltd
226,Rare Ltd.,1999,Donkey Kong 64,Platform,N64,Nintendo
227,Ubisoft Paris,2010,Just Dance 2,Misc,Wii,Ubisoft
228,Core Design Ltd.,1997,Tomb Raider II,Adventure,PS,Eidos Interactive
229,EA Tiburon,2003,Madden NFL 2004,Sports,PS2,EA Sports
230,Sledgehammer Games,2014,Call of Duty: Advanced Warfare,Shooter,XOne,Activision
231,Obsidian Entertainment,2010,Fallout: New Vegas,Role-Playing,PC,Bethesda Softworks
232,Polyphony Digital,2013,Gran Turismo 6,Racing,PS3,Sony Computer Entertainment America
233,Square Enix,2006,Kingdom Hearts II,Role-Playing,PS2,Square Enix
234,SCEA Santa Monica Studio,2010,God of War III,Action,PS3,Sony Computer Entertainment
235,Nintendo,2012,Nintendo Land,Party,WiiU,Nintendo
236,Nintendo R&D1,1994,Super Mario Land 3: Wario Land,Platform,GB,Nintendo
